Iteration;Time;BestFitness;Call-0;Best-0;Imp-0;Eq-0;Wrs-0;Tm-0;Call-1;Best-1;Imp-1;Eq-1;Wrs-1;Tm-1;Call-2;Best-2;Imp-2;Eq-2;Wrs-2;Tm-2;Call-3;Best-3;Imp-3;Eq-3;Wrs-3;Tm-3;Call-4;Best-4;Imp-4;Eq-4;Wrs-4;Tm-4;Call-5;Best-5;Imp-5;Eq-5;Wrs-5;Tm-5;Call-6;Best-6;Imp-6;Eq-6;Wrs-6;Tm-6;Call-7;Best-7;Imp-7;Eq-7;Wrs-7;Tm-7;
177;0,915;0,04575403050108506;8;0;0;0;8;0,008138885;15;1;1;4;10;0,017907677;124;62;62;62;0;0,252007296;6;0;0;6;0;0,010467224;9;6;6;3;0;0,058815242;9;0;0;0;9;0,009580098;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
183;0,93;0,04575294117646633;10;1;1;0;9;0,010083002;15;1;1;4;10;0,017907677;128;62;62;66;0;0,259069495;6;0;0;6;0;0,010467224;9;6;6;3;0;0,058815242;9;0;0;0;9;0,009580098;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
187;0,941;0,04563877995642285;10;1;1;0;9;0,010083002;16;2;2;4;10;0,01931188;130;62;62;68;0;0,262662782;7;0;0;7;0;0,011996463;9;6;6;3;0;0,058815242;9;0;0;0;9;0,009580098;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
191;0,949;0,04471416122003935;11;1;1;0;10;0,010970691;18;2;2;6;10;0,021124131;131;63;63;68;0;0,264861748;7;0;0;7;0;0,011996463;9;6;6;3;0;0,058815242;9;0;0;0;9;0,009580098;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
193;0,956;0,04466732026143361;12;1;1;0;11;0,011855657;18;2;2;6;10;0,021124131;132;64;64;68;0;0,266738197;7;0;0;7;0;0,011996463;9;6;6;3;0;0,058815242;9;0;0;0;9;0,009580098;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
194;0,962;0,04464749455337247;12;1;1;0;11;0,011855657;18;2;2;6;10;0,021124131;133;65;65;68;0;0,268978711;7;0;0;7;0;0,011996463;9;6;6;3;0;0,058815242;9;0;0;0;9;0,009580098;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
195;0,967;0,04464509803921113;12;1;1;0;11;0,011855657;18;2;2;6;10;0,021124131;134;66;66;68;0;0,271075405;7;0;0;7;0;0,011996463;9;6;6;3;0;0,058815242;9;0;0;0;9;0,009580098;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
196;0,975;0,04464466230936359;12;1;1;0;11;0,011855657;18;2;2;6;10;0,021124131;135;67;67;68;0;0,273412549;7;0;0;7;0;0,011996463;9;6;6;3;0;0,058815242;9;0;0;0;9;0,009580098;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
217;1,018;0,04449433551197801;17;1;1;0;16;0,016325255;19;2;2;6;11;0,022111784;147;67;67;80;0;0,297762293;8;0;0;8;0;0,013593627;10;7;7;3;0;0,063614498;10;0;0;0;10;0,010432269;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
219;1,025;0,04446732026143341;17;1;1;0;16;0,016325255;20;2;2;6;12;0,023008855;148;68;68;80;0;0,299909743;8;0;0;8;0;0,013593627;10;7;7;3;0;0,063614498;10;0;0;0;10;0,010432269;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
223;1,04;0,0444416122004313;18;1;1;0;17;0,017213229;20;2;2;6;12;0,023008855;150;68;68;80;2;0,304148448;8;0;0;8;0;0,013593627;11;8;8;3;0;0,069042667;10;0;0;0;10;0,010432269;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
229;1,056;0,04443289760348146;18;1;1;0;17;0,017213229;21;2;2;6;13;0,024010011;152;69;69;80;3;0,308470291;9;0;0;9;0;0,015068057;12;8;8;4;0;0,073554159;11;0;0;0;11;0,011281942;5;0;0;5;0;0,015935295;1;0;0;1;0;0,094352066;
