Iteration;Time;BestFitness;Call-0;Best-0;Imp-0;Eq-0;Wrs-0;Tm-0;Call-1;Best-1;Imp-1;Eq-1;Wrs-1;Tm-1;Call-2;Best-2;Imp-2;Eq-2;Wrs-2;Tm-2;Call-3;Best-3;Imp-3;Eq-3;Wrs-3;Tm-3;Call-4;Best-4;Imp-4;Eq-4;Wrs-4;Tm-4;Call-5;Best-5;Imp-5;Eq-5;Wrs-5;Tm-5;Call-6;Best-6;Imp-6;Eq-6;Wrs-6;Tm-6;Call-7;Best-7;Imp-7;Eq-7;Wrs-7;Tm-7;
94;0,491;0,06239978785467715;5;0;0;0;5;0,004665249;15;3;3;2;10;0,017446155;48;37;37;11;0;0,104816257;6;0;0;6;0;0,009630902;4;3;3;1;0;0,023717943;8;0;0;0;8;0,00773121;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
96;0,499;0,06234378149031761;5;0;0;0;5;0,004665249;16;3;3;2;11;0,018508004;49;38;38;11;0;0,107291881;6;0;0;6;0;0,009630902;4;3;3;1;0;0,023717943;8;0;0;0;8;0,00773121;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
97;0,505;0,062343569344998184;5;0;0;0;5;0,004665249;16;3;3;2;11;0,018508004;50;39;39;11;0;0,109251929;6;0;0;6;0;0,009630902;4;3;3;1;0;0,023717943;8;0;0;0;8;0,00773121;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
98;0,513;0,062320233359848154;5;0;0;0;5;0,004665249;16;3;3;2;11;0,018508004;51;40;40;11;0;0,111282688;6;0;0;6;0;0,009630902;4;3;3;1;0;0,023717943;8;0;0;0;8;0,00773121;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
100;0,52;0,06231768761601364;5;0;0;0;5;0,004665249;17;3;3;2;12;0,019517681;52;41;41;11;0;0,113240925;6;0;0;6;0;0,009630902;4;3;3;1;0;0,023717943;8;0;0;0;8;0,00773121;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
107;0,537;0,06231302041898379;7;0;0;0;7;0,006465072;17;3;3;2;12;0,019517681;56;41;41;15;0;0,120849884;6;0;0;6;0;0,009630902;4;3;3;1;0;0,023717943;8;0;0;0;8;0,00773121;8;5;5;3;0;0,029416059;1;0;0;1;0;0,05374324;
123;0,578;0,06226210554229328;7;0;0;0;7;0,006465072;19;3;3;2;14;0,021543404;66;41;41;25;0;0,140164246;6;0;0;6;0;0,009630902;5;4;4;1;0;0,029147185;9;0;0;0;9;0,008597191;10;5;5;5;0;0,036640237;1;0;0;1;0;0,05374324;
130;0,59;0,05931823498138955;9;0;0;0;9;0,008142192;23;3;3;2;18;0,026096948;67;42;42;25;0;0,142108031;6;0;0;6;0;0,009630902;5;4;4;1;0;0,029147185;9;0;0;0;9;0,008597191;10;5;5;5;0;0,036640237;1;0;0;1;0;0,05374324;
131;0,596;0,059298458266876075;9;0;0;0;9;0,008142192;23;3;3;2;18;0,026096948;68;43;43;25;0;0,144101101;6;0;0;6;0;0,009630902;5;4;4;1;0;0,029147185;9;0;0;0;9;0,008597191;10;5;5;5;0;0,036640237;1;0;0;1;0;0,05374324;
132;0,603;0,05929739500265485;9;0;0;0;9;0,008142192;23;3;3;2;18;0,026096948;69;44;44;25;0;0,146361179;6;0;0;6;0;0,009630902;5;4;4;1;0;0,029147185;9;0;0;0;9;0,008597191;10;5;5;5;0;0,036640237;1;0;0;1;0;0,05374324;
